seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,8,0.6049
11,10,8,0.6049
12,10,8,0.6049
13,10,8,0.6049
14,10,8,0.6049
15,10,8,0.6049
16,10,8,0.6049
17,10,8,0.6049
18,10,8,0.6049
19,10,8,0.6049
20,10,8,0.6049
21,10,8,0.6049
22,10,8,0.6049
23,10,8,0.6049
24,10,8,0.6049
25,10,8,0.6049
26,10,8,0.6049
27,10,8,0.6049
28,10,8,0.6049
29,10,8,0.6049
30,10,8,0.6049
10,11,8,0.5998
11,11,8,0.5653
12,11,8,0.5653
13,11,8,0.5653
14,11,8,0.5653
15,11,8,0.5653
16,11,8,0.5653
17,11,8,0.5653
18,11,8,0.5653
19,11,8,0.5653
20,11,8,0.5653
21,11,8,0.5653
22,11,8,0.5653
23,11,8,0.5653
24,11,8,0.5653
25,11,8,0.5653
26,11,8,0.5653
27,11,8,0.5653
28,11,8,0.5653
29,11,8,0.5653
30,11,8,0.5653
10,12,8,0.6031
11,12,8,0.5681
12,12,8,0.5598
13,12,8,0.5598
14,12,8,0.5598
15,12,8,0.5598
16,12,8,0.5598
17,12,8,0.5598
18,12,8,0.5598
19,12,8,0.5598
20,12,8,0.5598
21,12,8,0.5598
22,12,8,0.5598
23,12,8,0.5598
24,12,8,0.5598
25,12,8,0.5598
26,12,8,0.5598
27,12,8,0.5598
28,12,8,0.5598
29,12,8,0.5598
30,12,8,0.5598
10,13,8,0.6002
11,13,8,0.5655
12,13,8,0.5595
13,13,8,0.5584
14,13,8,0.5584
15,13,8,0.5584
16,13,8,0.5584
17,13,8,0.5584
18,13,8,0.5584
19,13,8,0.5584
20,13,8,0.5584
21,13,8,0.5584
22,13,8,0.5584
23,13,8,0.5584
24,13,8,0.5584
25,13,8,0.5584
26,13,8,0.5584
27,13,8,0.5584
28,13,8,0.5584
29,13,8,0.5584
30,13,8,0.5584
10,14,8,0.5923
11,14,8,0.5627
12,14,8,0.5597
13,14,8,0.5585
14,14,8,0.5578
15,14,8,0.5578
16,14,8,0.5578
17,14,8,0.5578
18,14,8,0.5578
19,14,8,0.5578
20,14,8,0.5578
21,14,8,0.5578
22,14,8,0.5578
23,14,8,0.5578
24,14,8,0.5578
25,14,8,0.5578
26,14,8,0.5578
27,14,8,0.5578
28,14,8,0.5578
29,14,8,0.5578
30,14,8,0.5578
10,15,8,0.5861
11,15,8,0.5612
12,15,8,0.5597
13,15,8,0.5582
14,15,8,0.5576
15,15,8,0.5575
16,15,8,0.5575
17,15,8,0.5575
18,15,8,0.5575
19,15,8,0.5575
20,15,8,0.5575
21,15,8,0.5575
22,15,8,0.5575
23,15,8,0.5575
24,15,8,0.5575
25,15,8,0.5575
26,15,8,0.5575
27,15,8,0.5575
28,15,8,0.5575
29,15,8,0.5575
30,15,8,0.5575
10,16,8,0.5814
11,16,8,0.5614
12,16,8,0.5589
13,16,8,0.5581
14,16,8,0.5575
15,16,8,0.5575
16,16,8,0.558
17,16,8,0.558
18,16,8,0.558
19,16,8,0.558
20,16,8,0.558
21,16,8,0.558
22,16,8,0.558
23,16,8,0.558
24,16,8,0.558
25,16,8,0.558
26,16,8,0.558
27,16,8,0.558
28,16,8,0.558
