seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,5,0.1339
11,10,5,0.1339
12,10,5,0.1339
13,10,5,0.1339
14,10,5,0.1339
15,10,5,0.1339
16,10,5,0.1339
17,10,5,0.1339
18,10,5,0.1339
19,10,5,0.1339
20,10,5,0.1339
21,10,5,0.1339
22,10,5,0.1339
23,10,5,0.1339
24,10,5,0.1339
25,10,5,0.1339
26,10,5,0.1339
27,10,5,0.1339
28,10,5,0.1339
29,10,5,0.1339
30,10,5,0.1339
10,11,5,0.9833
11,11,5,0.1336
12,11,5,0.1336
13,11,5,0.1336
14,11,5,0.1336
15,11,5,0.1336
16,11,5,0.1336
17,11,5,0.1336
18,11,5,0.1336
19,11,5,0.1336
20,11,5,0.1336
21,11,5,0.1336
22,11,5,0.1336
23,11,5,0.1336
24,11,5,0.1336
25,11,5,0.1336
26,11,5,0.1336
27,11,5,0.1336
28,11,5,0.1336
29,11,5,0.1336
30,11,5,0.1336
10,12,5,0.9832
11,12,5,0.9839
12,12,5,0.1331
13,12,5,0.1331
14,12,5,0.1331
15,12,5,0.1331
16,12,5,0.1331
17,12,5,0.1331
18,12,5,0.1331
19,12,5,0.1331
20,12,5,0.1331
21,12,5,0.1331
22,12,5,0.1331
23,12,5,0.1331
24,12,5,0.1331
25,12,5,0.1331
26,12,5,0.1331
27,12,5,0.1331
28,12,5,0.1331
29,12,5,0.1331
30,12,5,0.1331
10,13,5,0.9834
11,13,5,0.9842
12,13,5,0.9844
13,13,5,0.1335
14,13,5,0.1335
15,13,5,0.1335
16,13,5,0.1335
17,13,5,0.1335
18,13,5,0.1335
19,13,5,0.1335
20,13,5,0.1335
21,13,5,0.1335
22,13,5,0.1335
23,13,5,0.1335
24,13,5,0.1335
25,13,5,0.1335
26,13,5,0.1335
27,13,5,0.1335
28,13,5,0.1335
29,13,5,0.1335
30,13,5,0.1335
10,14,5,0.9828
11,14,5,0.9835
12,14,5,0.9834
13,14,5,0.6224
14,14,5,0.1339
15,14,5,0.1339
16,14,5,0.1339
17,14,5,0.1339
18,14,5,0.1339
19,14,5,0.1339
20,14,5,0.1339
21,14,5,0.1339
22,14,5,0.1339
23,14,5,0.1339
24,14,5,0.1339
25,14,5,0.1339
26,14,5,0.1339
27,14,5,0.1339
28,14,5,0.1339
29,14,5,0.1339
30,14,5,0.1339
10,15,5,0.9828
11,15,5,0.9834
12,15,5,0.9833
13,15,5,0.9826
14,15,5,0.6234
15,15,5,0.1607
16,15,5,0.1607
17,15,5,0.1607
18,15,5,0.1607
19,15,5,0.1607
20,15,5,0.1607
21,15,5,0.1607
22,15,5,0.1607
23,15,5,0.1607
24,15,5,0.1607
25,15,5,0.1607
26,15,5,0.1607
27,15,5,0.1607
28,15,5,0.1607
29,15,5,0.1607
30,15,5,0.1607
10,16,5,0.9835
11,16,5,0.983
12,16,5,0.1339
13,16,5,0.9826
14,16,5,0.9836
15,16,5,0.8282
16,16,5,0.1608
17,16,5,0.1608
18,16,5,0.1608
19,16,5,0.1608
20,16,5,0.1608
21,16,5,0.1608
22,16,5,0.1608
23,16,5,0.1608
24,16,5,0.1608
25,16,5,0.1608
26,16,5,0.1608
27,16,5,0.1608
28,16,5,0.1608
29,16,5,0.1608
30,16,5,0.1608
10,17,5,0.2608
11,17,5,0.9833
12,17,5,0.9836
13,17,5,0.9831
14,17,5,0.2604
15,17,5,0.9841
16,17,5,0.261
17,17,5,0.161
18,17,5,0.161
19,17,5,0.161
20,17,5,0.161
21,17,5,0.161
22,17,5,0.161
23,17,5,0.161
24,17,5,0.161
25,17,5,0.161
26,17,5,0.161
27,17,5,0.161
28,17,5,0.161
29,17,5,0.161
30,17,5,0.161
10,18,5,0.261
11,18,5,0.9837
12,18,5,0.9834
13,18,5,0.1335
14,18,5,0.983
15,18,5,0.9838
16,18,5,0.9844
17,18,5,0.9854
18,18,5,0.1609
19,18,5,0.1609
20,18,5,0.1609
21,18,5,0.1609
22,18,5,0.1609
23,18,5,0.1609
24,18,5,0.1609
25,18,5,0.1609
26,18,5,0.1609
27,18,5,0.1609
28,18,5,0.1609
29,18,5,0.1609
30,18,5,0.1609
10,19,5,0.9823
11,19,5,0.9841
12,19,5,0.9828
13,19,5,0.983
14,19,5,0.9835
15,19,5,0.9833
16,19,5,0.9845
17,19,5,0.9842
18,19,5,0.7102
19,19,5,0.1609
20,19,5,0.1609
21,19,5,0.1609
22,19,5,0.1609
23,19,5,0.1609
24,19,5,0.1609
25,19,5,0.1609
26,19,5,0.1609
27,19,5,0.1609
28,19,5,0.1609
29,19,5,0.1609
30,19,5,0.1609
10,20,5,0.9823
11,20,5,0.9827
12,20,5,0.9808
13,20,5,0.9829
14,20,5,0.983
15,20,5,0.9829
16,20,5,0.7095
17,20,5,0.8146
18,20,5,0.6241
19,20,5,0.9846
20,20,5,0.1453
21,20,5,0.1453
22,20,5,0.1453
23,20,5,0.1453
24,20,5,0.1453
25,20,5,0.1453
26,20,5,0.1453
27,20,5,0.1453
28,20,5,0.1453
29,20,5,0.1453
30,20,5,0.1453
10,21,5,0.9814
11,21,5,0.9827
12,21,5,0.9807
13,21,5,0.1335
14,21,5,0.6223
15,21,5,0.9841
16,21,5,0.8281
17,21,5,0.814
18,21,5,0.2612
19,21,5,0.3254
20,21,5,0.9844
21,21,5,0.1332
22,21,5,0.1332
23,21,5,0.1332
24,21,5,0.1332
25,21,5,0.1332
26,21,5,0.1332
27,21,5,0.1332
28,21,5,0.1332
29,21,5,0.1332
30,21,5,0.1332
10,22,5,0.9827
11,22,5,0.9827
12,22,5,0.9812
13,22,5,0.1336
14,22,5,0.6215
15,22,5,0.9838
16,22,5,0.9833
17,22,5,0.9841
18,22,5,0.2608
19,22,5,0.6233
20,22,5,0.6235
21,22,5,0.133
