seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,2,0.9933,3.15,101788
11,10,2,0.9933,0.66,69120
12,10,2,0.9933,0.65,69120
13,10,2,0.9933,0.66,69120
14,10,2,0.9933,0.65,69120
15,10,2,0.9933,0.65,74880
16,10,2,0.9933,0.65,69120
17,10,2,0.9933,0.65,69120
18,10,2,0.9933,0.65,69120
19,10,2,0.9933,0.64,69120
20,10,2,0.9933,0.65,68800
21,10,2,0.9933,0.65,68800
22,10,2,0.9933,0.66,69120
23,10,2,0.9933,0.65,69120
24,10,2,0.9933,0.66,69120
25,10,2,0.9933,0.66,69120
26,10,2,0.9933,0.65,69120
27,10,2,0.9933,0.65,69120
28,10,2,0.9933,0.66,69120
29,10,2,0.9933,0.65,69120
30,10,2,0.9933,0.65,68800
10,11,2,0.9936,3.09,97444
11,11,2,0.9934,1.84,94108
12,11,2,0.9934,0.65,69120
13,11,2,0.9934,0.66,75152
14,11,2,0.9934,0.65,69120
15,11,2,0.9934,0.66,75156
16,11,2,0.9934,0.65,68800
17,11,2,0.9934,0.66,69120
18,11,2,0.9934,0.65,69120
19,11,2,0.9934,0.66,69120
20,11,2,0.9934,0.64,68800
21,11,2,0.9934,0.64,69120
22,11,2,0.9934,0.65,69120
23,11,2,0.9934,0.66,68800
24,11,2,0.9934,0.66,68800
25,11,2,0.9934,0.65,69120
26,11,2,0.9934,0.66,68800
27,11,2,0.9934,0.66,69120
28,11,2,0.9934,0.66,69120
29,11,2,0.9934,0.66,69120
30,11,2,0.9934,0.66,69120
10,12,2,0.9928,2.73,95464
11,12,2,0.9928,1.57,88836
12,12,2,0.9922,1.6,101736
13,12,2,0.9922,0.66,69120
14,12,2,0.9922,0.67,68800
15,12,2,0.9922,0.66,75152
16,12,2,0.9922,0.66,68800
17,12,2,0.9922,0.66,68800
18,12,2,0.9922,0.66,68800
19,12,2,0.9922,0.66,75148
20,12,2,0.9922,0.66,69120
21,12,2,0.9922,0.66,69120
22,12,2,0.9922,0.66,69120
23,12,2,0.9922,0.66,69120
24,12,2,0.9922,0.65,69120
25,12,2,0.9922,0.65,69120
26,12,2,0.9922,0.66,69120
27,12,2,0.9922,0.66,69120
28,12,2,0.9922,0.66,69120
29,12,2,0.9922,0.66,69120
30,12,2,0.9922,0.66,69120
10,13,2,0.9928,2.4,93532
11,13,2,0.993,1.45,86884
12,13,2,0.9923,1.57,90416
13,13,2,0.1468,1.39,101816
14,13,2,0.1468,0.66,75156
15,13,2,0.1468,0.65,69120
16,13,2,0.1468,0.65,69120
17,13,2,0.1468,0.65,69120
18,13,2,0.1468,0.65,69120
19,13,2,0.1468,0.65,69120
20,13,2,0.1468,0.66,68800
21,13,2,0.1468,0.66,69120
22,13,2,0.1468,0.65,68800
23,13,2,0.1468,0.65,68800
24,13,2,0.1468,0.66,69120
25,13,2,0.1468,0.65,69120
26,13,2,0.1468,0.65,69120
27,13,2,0.1468,0.65,69120
28,13,2,0.1468,0.65,69120
29,13,2,0.1468,0.66,69120
30,13,2,0.1468,0.66,69120
10,14,2,0.9924,2.14,92252
11,14,2,0.9916,1.31,84548
12,14,2,0.9918,1.55,83888
13,14,2,0.1467,1.35,90400
14,14,2,0.1198,1.38,101880
15,14,2,0.1198,0.65,69120
16,14,2,0.1198,0.65,69120
17,14,2,0.1198,0.66,69120
18,14,2,0.1198,0.65,69120
19,14,2,0.1198,0.66,75156
20,14,2,0.1198,0.65,69120
21,14,2,0.1198,0.66,68800
22,14,2,0.1198,0.65,69120
23,14,2,0.1198,0.66,69120
24,14,2,0.1198,0.65,68800
25,14,2,0.1198,0.65,69120
26,14,2,0.1198,0.65,69120
27,14,2,0.1198,0.67,69120
28,14,2,0.1198,0.67,69120
29,14,2,0.1198,0.66,69120
30,14,2,0.1198,0.66,68800
10,15,2,0.9927,1.96,81368
11,15,2,0.9922,1.22,82300
12,15,2,0.9913,1.49,82192
13,15,2,0.1465,1.32,84884
14,15,2,0.1197,1.36,92744
15,15,2,0.1198,1.38,103772
16,15,2,0.1198,0.66,68800
17,15,2,0.1198,0.66,69120
18,15,2,0.1198,0.66,68800
19,15,2,0.1198,0.66,69120
20,15,2,0.1198,0.66,69120
21,15,2,0.1198,0.66,75380
22,15,2,0.1198,0.66,69120
23,15,2,0.1198,0.65,69120
24,15,2,0.1198,0.66,69120
25,15,2,0.1198,0.66,69120
26,15,2,0.1198,0.65,69120
27,15,2,0.1198,0.65,69120
28,15,2,0.1198,0.65,68800
29,15,2,0.1198,0.65,69120
30,15,2,0.1198,0.64,69120
10,16,2,0.9913,1.82,88036
11,16,2,0.9917,1.42,80764
12,16,2,0.811,1.4,81952
13,16,2,0.1464,1.34,82592
14,16,2,0.1197,1.38,86328
15,16,2,0.1197,1.37,90748
16,16,2,0.1166,1.38,104076
17,16,2,0.1166,0.67,75148
18,16,2,0.1166,0.65,69120
19,16,2,0.1166,0.66,69120
